"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"
"RPL36B"	"YPL249C-A"	75699	76239	"Ribosomal Protein of the Large subunit"	""
"YMR182W-A"	"YMR182W-A"	625811	625897	"Unknown"	""
"YKL069W"	"YKL069W"	307285	307827	"YKL069W"	""
"YER076C"	"YER076C"	312590	313498	"Unknown"	""
"CPR7"	"CPR7"	491081	492262	"cyclophilin 40"	""
"YMR252C"	"YMR252C"	775315	775719	"Unknown"	""
"ISC10"	"YER180C"	549724	550527	"message Induced in Sporogenesis in S. Cervisiae"	""
"YDR524W-C"	"YDR524W-C"	1489403	1489492	"Unknown"	""
"DRS2"	"YAL026C"	95630	99697	"Deficiency of Ribosomal Subunits"	""
"YMR111C"	"YMR111C"	492404	493792	"Unknown"	""
"COQ9"	"YLR201C"	549511	550293	"COenzyme Q"	""
"YDR374C"	"YDR374C"	1223474	1224394	"Unknown"	""
"SIP5"	"YMR140W"	547714	549183	"Snf1 Interacting Protein"	""
"YML037C"	"YML037C"	204386	205408	"Unknown"	""
"VAC17"	"YCL063W"	17290	18561	"VACuole related"	""
"YDR161W"	"YDR161W"	779043	780206	"Unknown"	""
"EGT2"	"YNL327W"	24048	27173	"EGT2"	""
"YLR157C-C"	"YLR157C-C"	482059	482190	"Unknown"	""
"NOP7"	"YGR103W"	695417	697234	"NucleOlar Protein"	""
"YDL211C"	"YDL211C"	79294	80412	"Unknown"	""
"SNX3"	"YOR357C"	1009224	1009712	"Sorting NeXin"	""
"YLR352W"	"YLR352W"	831116	833539	"Unknown"	""
"PCI8"	"YIL071C"	228660	229994	"Proteasome-COP9 signalosome (CSN)-eIF3"	""
"YCR095W-A"	"YCR095W-A"	289639	289797	"Unknown"	""
"MTH1"	"YDR277C"	1014401	1015702	"MSN Three Homolog"	""
"YLR211C"	"YLR211C"	563792	564531	"Unknown"	""
"SMX3"	"YPR182W"	900194	900454	"SMX3"	""
"YCR016W"	"YCR016W"	143634	144506	"Unknown"	""
"DCW1"	"YKL046C"	351275	352624	"Defective Cell Wall"	""
"YLR036C"	"YLR036C"	221521	222132	"Unknown"	""
"URA2"	"URA2"	165723	172367	"carbamoyl phosphate synthase/aspartate carbamoyltransferase"	"urea cycle" // "citrulline biosynthesis" // "glutamine degradation I" // "UMP biosynthesis II" // "de novo biosynthesis of pyrimidine ribonucleotides"
"YBL100W-C"	"YBL100W-C"	28427	28546	"Unknown"	""
"COG3"	"YER157W"	484788	487193	"Conserved Oligomeric Golgi complex"	""
"YKL068W-A"	"YKL068W-A"	309206	309442	"Unknown"	""
"ERP2"	"YAL007C"	137698	138345	"Emp24p/Erv25p Related Protein"	""
"YBR225W"	"YBR225W"	670627	673329	"Unknown"	""
"VTA1"	"YLR181C"	516678	517670	"VpsTwenty Associated"	""
"KKQ8"	"YKL168C"	131288	133462	"Unknown"	""
"PKR1"	"YMR123W"	513593	513961	"Pichia farinosa Killer toxin Resistance"	""
"YBL095W"	"YBL095W"	43277	44089	"Unknown"	""
"LSB5"	"YCL034W"	61658	62722	"Las Seventeen Binding protein"	""
"YJL077W-B"	"YJL077W-B"	294047	294145	"Unknown"	""
"MRPS18"	"YNL306W"	58155	58808	"Mitochondrial Ribosomal Protein, Small subunit"	""
"ERR1"	"ERR1"	1080276	1081589	"enolase"	"gluconeogenesis" // "glycolysis" // "glycolysis III (from glucose)"
"RPL11B"	"YGR085C"	648383	648907	"Ribosomal Protein of the Large subunit"	""
"YAR068W"	"YAR068W"	222406	222891	"Unknown"	""
"MRS2"	"YOR334W"	944596	946008	"Mitochondrial RNA Splicing"	""
"YJR111C"	"YJR111C"	635855	636706	"Unknown"	""
"MET30"	"YIL046W"	268651	270573	"METhionine requiring"	""
"PAN6"	"PAN6"	76354	77283	"pantoate &beta;-alanine ligase"	"phosphopantothenate biosynthesis"
"CHL4"	"YDR254W"	965113	966489	"CHromosome Loss"	""
"YJL171C"	"YJL171C"	99704	100894	"Unknown"	""
"SGV1"	"YPR161C"	864449	866422	"Suppressor of Gpa1<sup>Val50</sup> mutation"	""
"ECM31"	"ECM31"	583720	584658	"3-methyl-2-oxobutanoate hydroxymethyltransferase"	"phosphopantothenate biosynthesis"
"SWD2"	"YKL018W"	404102	405091	"Set1c, WD40 repeat protein"	""
"YIR018C-A"	"YIR018C-A"	385564	385701	"Unknown"	""
"LYS1"	"LYS1"	419615	420736	YIR034C-MONOMER	"L-lysine biosynthesis IV"
"YPR148C"	"YPR148C"	826833	828140	"Unknown"	""
"YER140W"	"YER140W"	451565	453235	"ER Membrane Protein of 65 kDa"	""
"YIL165C"	"YIL165C"	33718	34077	"Unknown"	""
"NHA1"	"YLR138W"	418437	421394	"Na+/H+ Antiporter"	""
"YPL277C"	"YPL277C"	15405	16868	"Unknown"	""
"SNZ1"	"YMR096W"	458408	459301	"PLP synthase"	"citrulline biosynthesis" // "glutamine degradation I" // "pyridoxal 5'-phosphate biosynthesis II"
"YHR050W-A"	"YHR050W-A"	209475	209645	"Unknown"	""
"RER1"	"YCL001W"	111916	112482	"Retention in the Endoplasmic Reticulum"	""
"YPL107W"	"YPL107W"	349119	349865	"Unknown"	""
"CUS2"	"YNL286W"	95223	96080	"Cold sensitive U2 snRNA Suppressor"	""
"YHR182W"	"YHR182W"	468219	470576	"Unknown"	""
"SPT4"	"YGR063C"	617516	617824	"SuPpressor of Ty's"	""
"YOL038C-A"	"YOL038C-A"	254926	255021	"Unknown"	""
"NOP58"	"YOR310C"	896825	898360	"NucleOlar Protein of 58 kDa"	""
"YHR033W"	"YHR033W"	175548	176819	"Unknown"	""
"IRR1"	"YIL026C"	304477	307929	"IRRegular"	""
"GDS1"	"YOR355W"	1005137	1006705	"Unknown"	""
"PCF11"	"YDR228C"	921926	923806	"Protein 1 of Cleavage and polyadenylation Factor I"	""
"YGL041W-A"	"YGL041W-A"	418825	419289	"Unknown"	""
"CTF4"	"YPR135W"	799234	802017	"Chromosome Transmission Fidelity"	""
"YOR131C"	"YOR131C"	572182	572838	"Unknown"	""
"COA3"	"YJL062W-A"	316723	316980	"Cytochrome Oxidase Assembly"	""
"YGR168C"	"YGR168C"	833352	834482	"Unknown"	""
"PFK26"	"PFK26"	163278	165761	"6-phosphofructose-2-kinase"	"fructose 2,6-bisphosphate biosynthesis"
"YOL073C"	"YOL073C"	193832	194800	"Unknown"	""
"SHO1"	"YER118C"	397952	399055	"SHO1"	""
"YGR026W"	"YGR026W"	532985	533821	"Unknown"	""
"CFT2"	"YLR115W"	377985	380564	"Cleavage Factor Two"	""
"YNR068C"	"YNR068C"	760067	760885	"Unknown"	""
"RCO1"	"YMR075W"	413982	416036	"RCO1"	""
"YGL117W"	"YGL117W"	288512	289309	"Unknown"	""
"PHO89"	"YBR296C"	796798	798522	"PHOsphate metabolism"	""
"YNL195C"	"YNL195C"	271523	272308	"Unknown"	""
"YIF1"	"YNL263C"	146896	147840	"YIP1-Interacting Factor"	""
"YFR018C"	"YFR018C"	183131	184222	"Unknown"	""
"ORM1"	"YGR038W"	560682	561350	"ORM1"	""
"YNL046W"	"YNL046W"	542304	542822	"Unknown"	""
"RRP36"	"YOR287C"	850937	851839	"Ribosomal RNA Processing"	""
"YEL076C-A"	"YEL076C-A"	4185	5114	"Unknown"	""
"BET1"	"YIL004C"	347946	348505	"Blocked Early in Transport"	""
"YML100W-A"	"YML100W-A"	70138	70311	"Unknown"	""
"EBS1"	"YDR206W"	862054	864708	"Est1-like Bcy1 Suppressor"	""
"YEL076C"	"YEL076C"	4464	5114	"Unknown"	""
"MRD1"	"YPR112C"	749256	751919	"Multiple RNA-binding domain"	""
"YMR206W"	"YMR206W"	675896	676837	"Unknown"	""
"NMD5"	"YJR132W"	669522	672668	"NMD5"	""
"YDR194W-A"	"YDR194W-A"	848071	848223	"Unknown"	""
"GND1"	"GND1"	470960	472429	"6-phosphogluconate dehydrogenase, decarboxylating 1"	"pentose phosphate pathway (oxidative branch)"
"YMR085W"	"YMR085W"	437491	438789	"Unknown"	""
"AST2"	"YER101C"	360502	361794	"ATPase STabilizing"	""
"YDR338C"	"YDR338C"	1147379	1149466	"Unknown"	""
"SUL2"	"YLR092W"	323544	326225	"SULfate metabolism"	""
"YML003W"	"YML003W"	263483	264355	"Unknown"	""
"BUB2"	"YMR055C"	386101	387021	"Budding Uninhibited by Benzimidazole"	""
"YDR114C"	"YDR114C"	681924	682226	"Unknown"	""
"CHK1"	"YBR274W"	749594	751177	"CHeckpoint Kinase"	""
"YLR154C-G"	"YLR154C-G"	462522	462671	"Unknown"	""
"VPS75"	"YNL246W"	185460	186349	"Vacuolar Protein Sorting"	""
"YDL180W"	"YDL180W"	135896	137539	"Unknown"	""
"PEX31"	"YGR004W"	502938	504326	"PEroXisome related"	""
"YLR312C"	"YLR312C"	757637	758833	"Unknown"	""
"DSE3"	"YOR264W"	818866	820158	"Daughter Specific Expression"	""
"YCR108C"	"YCR108C"	315997	316188	"Unknown"	""
"SCH9"	"YHR205W"	509363	511837	"SCH9"	""
"YLR173W"	"YLR173W"	502421	504247	"Unknown"	""
"ATC1"	"YDR184C"	830629	831513	"Aip Three Complex"	""
"ASR1"	"YPR093C"	719558	720424	"Alcohol Sensitive Ring/PHD finger"	""
"AIM25"	"YJR100C"	616351	617334	"Altered Inheritance of Mitochondria"	""
"INM1"	"INM1"	197398	198285	"inositol monophosphatase"	"<i>myo</i>-inositol biosynthesis"
"VTC1"	"YER072W"	302806	303195	"Vacuolar Transporter Chaperone"	""
"BUD20"	"YLR074C"	281956	282456	"BUD site selection"	""
"YMR034C"	"YMR034C"	339418	340722	"YMR034C"	""
"SRB6"	"YBR253W"	723270	723635	"Suppressor of RNA polymerase B"	""
"ATG4"	"YNL223W"	227370	228854	"AuTophaGy related"	""
"RAI1"	"YGL246C"	37617	38780	"Rat1p Interacting Protein"	""
"PUS7"	"YOR243C"	790211	792241	"PseudoUridine Synthase"	""
"SSP1"	"YHR184W"	472744	474459	"SSP1"	""
"SEC5"	"YDR166C"	786306	789221	"SECretory"	""
"UBA3"	"YPR066W"	681213	682112	"UBiquitin-like protein-Activating enzyme"	""
"AIM24"	"YJR080C"	580432	581616	"Altered Inheritance rate of Mitochondria"	""
"SCW4"	"SCW4"	1048798	1049958	"glucosidase"	""
"TPA1"	"YER049W"	251728	253662	"Termination and PolyAdenylation"	""
"IES3"	"YLR052W"	247201	247953	"Ino Eighty Subunit"	""
"BUD22"	"YMR014W"	298868	300427	"BUD site selection"	""
"SLX1"	"YBR228W"	675313	676227	"Synthetic Lethal of unknown (X) function"	""
"SLZ1"	"YNL196C"	270275	271171	"SLZ1"	""
"SDT1"	"YGL224C"	78015	78857	"Suppressor of Disruption of TFIIS"	""
"RUD3"	"YOR216C"	747525	748979	"Relieves Uso1-1 transport Defect"	""
"PEX18"	"YHR160C"	419221	420072	"PEroXin"	""
"DOP1"	"YDR141C"	734901	739997	"homolog of A. nidulans DOPey"	""
"TIF5"	"YPR041W"	648704	649921	"Translation Initiation Factor"	""
"HIT1"	"YJR055W"	538772	539266	"HIgh Temperature growth"	""
"ERG1"	"ERG1"	846933	848423	"squalene monooxygenase"	"superpathway of ergosterol biosynthesis" // "epoxysqualene biosynthesis"
"SMB1"	"YER029C"	212587	213177	"SM complex B protein"	""
"IZH3"	"YLR023C"	185498	187129	"Implicated in Zinc Homeostasis"	""
"GPH1"	"GPH1"	861306	864014	"glycogen phosphorylase"	"chitin biosynthesis" // "glycogen degradation II"
"GTR1"	"YML121W"	26930	27862	"GTp binding protein Resemblance"	""
"DER1"	"YBR201W"	623576	624211	"Degradation in the Endoplasmic Reticulum"	""
"NOP13"	"YNL175C"	307401	308612	"NucleOlar Protein"	""
"MCM6"	"YGL201C"	117854	120907	"MiniChromosome Maintenance"	""
"THI72"	"YOR192C"	698768	700567	"THI7 homologue 2"	""
"RPL4B"	"YDR012W"	471853	472941	"Ribosomal Protein of the Large subunit"	""
"RPC10"	"YHR143W-A"	387233	387445	"RNA Polymerase C"	""
"VBA4"	"YDR119W"	688227	690533	"Vacuolar Basic Amino acid transporter"	""
"ATP20"	"YPR020W"	599870	600217	"ATP synthase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"RAD26"	"YJR035W"	497355	500612	"RADiation sensitive"	""
"OST5"	"OST5"	72749	73158	"oligosaccharyl transferase complex &zeta; subunit"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"
"NUG1"	"YER006W"	162723	164285	"NUclear GTPase"	""
"SSL1"	"YLR005W"	160049	161434	"Suppressor of Stem-Loop mutation"	""
"PNG1"	"PNG1"	366927	368018	"peptide:N-glycanase"	""
"TAF13"	"YML098W"	77267	77770	"TATA binding protein-Associated Factor"	""
"DTR1"	"YBR180W"	589741	591459	"DiTyRosine"	""
"INN1"	"YNL152W"	346313	347542	"required for INgressioN"	""
"MPT5"	"YGL178W"	167352	170571	"Multicopy suppressor of Pop Two"	""
"GLN4"	"YOR168W"	649303	651732	"glutamine tRNA synthetase"	"tRNA charging"
"MFG1"	"YDL233W"	36797	38173	"Morphogenetic regulator of Filamentous Growth"	""
"COX23"	"YHR116W"	341665	342120	"Cytochrome OXidase"	"aerobic respiration (cytochrome c)" // "aerobic respiration (linear view)"
"GRX3"	"YDR098C"	644178	644930	"reduced glutaredoxin 3" // "oxidized glutaredoxin 3"	"glutathione-glutaredoxin redox reactions" // "glutathione-glutaredoxin system"
"YRF1-7"	"YPL283C"	280	6007	"YRF1-7"	""
"MPP10"	"YJR002W"	438865	440646	"M Phase Phosphoproteins"	""
"ATE1"	"ATE1"	459854	461365	"arginyl-tRNA-protein transferase"	""
"MAK10"	"YEL053C"	53901	56102	"MAintenance of Killer"	""
"FPS1"	"YLL043W"	49938	51947	"fdp1 Suppressor"	""
"CPA1"	"CPA1"	882899	884134	"carbamoyl phosphate synthetase"	"citrulline biosynthesis" // "glutamine degradation I" // "arginine biosynthesis" // "urea cycle"
"ITT1"	"YML068W"	137550	138944	"ITT1"	""
"SLI15"	"YBR156C"	551104	553200	"Synthetically Lethal with Ipl1"	""
"SPC98"	"YNL126W"	387227	389767	"Spindle Pole Component"	""
"RCK1"	"YGL158W"	207033	208571	"Radiation sensitivity Complementing Kinase"	""
"SPP2"	"YOR148C"	608640	609197	"Suppressor of PrP"	""
"SHR3"	"YDL212W"	78426	79058	"Super high Histidine Resistant"	""
"HXT4"	"YHR092C"	287081	288811	"HeXose Transporter"	""
"SHU2"	"YDR078C"	602198	602869	"Suppressor of HydroxyUrea sensitivity"	""
"HFI1"	"YPL254W"	69485	70951	"Histone H2A Functional Interactor"	""
"PHO90"	"YJL198W"	60844	63489	"PHOsphate metabolism"	""
"ADK2"	"ADK2"	525974	526651	"mitochondrial GTP:AMP phosphotransferase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"MCM3"	"YEL032W"	86937	89852	"MiniChromosome Maintenance"	""
"POM33"	"YLL023C"	97997	98836	"POre Membrane, 33 kDa"	""
"HEM15"	"HEM15"	662401	663582	"protoheme ferrolyase"	"superpathway of heme biosynthesis" // "heme biosynthesis"
"RSE1"	"YML049C"	174220	178305	"RNA Splicing and ER to Golgi transport"	""
"HSL7"	"YBR133C"	501804	504287	"Histone Synthetic Lethal"	""
"AIM37"	"YNL100W"	437613	438317	"Altered Inheritance rate of Mitochondria"	""
"PCL10"	"YGL134W"	255663	256964	"Pho85 CycLin"	""
"PFY1"	"YOR122C"	552298	552887	"ProFilin of Yeast"	""
"RPL35A"	"YDL191W"	117664	118517	"Ribosomal Protein of the Large subunit"	""
"PCL5"	"YHR071W"	237004	237693	"Pho85 CycLin"	""
"YOS9"	"YDR057W"	565927	567555	"Yeast OS-9 homolog"	""
"VMA11"	"YPL234C"	104946	105440	"Vacuolar Membrane Atpase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "adenosine nucleotides <i>de novo</i> biosynthesis" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"
"RPL17B"	"YJL177W"	90786	91657	"Ribosomal Protein of the Large subunit"	""
"YAT2"	"YAT2"	202192	204963	"carnitine acetyltransferase"	"carnitine shuttle"
"VAB2"	"YEL005C"	145907	146755	"VAc8p Binding"	""
"SFI1"	"YLL003W"	143201	146041	"Suppressor of Fermentation Induced loss of stress resistance"	""
"ALG6"	"ALG6"	329417	331051	"(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol glucosyltransferase"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"
"RPS17A"	"YML024W"	225889	226697	"Ribosomal Protein of the Small subunit"	""
"YSA1"	"YBR111C"	461178	461873	"YSA1"	""
"PMS1"	"YNL082W"	473391	476012	"PostMeiotic Segregation"	""
"SLD3"	"YGL113W"	295932	297938	"Synthetically Lethal with Dpb11-1"	""
"RPS7A"	"YOR096W"	505794	506767	"Ribosomal Protein of the Small subunit"	""
"CDC9"	"YDL164C"	164987	167254	"Cell Division Cycle"	""
"FSH1"	"YHR049W"	206462	207193	"Family of Serine Hydrolases"	""
"MRH1"	"YDR033W"	508147	509109	"Membrane protein Related to Hsp30p"	""
"NIP7"	"YPL211W"	153495	154040	"Nuclear ImPort"	""
"DAS1"	"YJL149W"	137379	139370	"Dst1-delta 6-Azauracil Sensitivity"	""
"EUG1"	"EUG1"	1478608	1480161	"protein disulfide isomerase"	""
"YRF1-1"	"YDR545W"	1526321	1531711	"YRF1-1"	""
"BAS1"	"YKR099W"	635851	638286	"BASal"	""
"BIO4"	"BIO4"	733356	734069	"dethiobiotin synthetase"	"biotin salvage"
"YLR466C-B"	"YLR466C-B"	1071594	1071710	"Experimental"	""
"RFC5"	"YBR087W"	423765	424829	"Replication Factor C"	""
"AQR1"	"YNL065W"	503724	505484	"Acids Quinidine Resistance"	""
"SPC105"	"YGL093W"	334886	337639	"Spindle Pole Component"	""
"SKI7"	"YOR076C"	469377	471620	"SuperKIller"	""
"SCM3"	"YDL139C"	211375	212046	"Suppressor of Chromosome Missegregation"	""
"RPS27B"	"YHR021C"	147871	148669	"Ribosomal Protein of the Small subunit"	""
"PRM3"	"YPL192C"	182655	183056	"Pheromone-Regulated Membrane protein"	""
"LSM1"	"YJL124C"	187126	187644	"Like SM"	""
"SUR2"	"SUR2"	1056551	1057600	"sphingolipid C4-hydroxylase"	"sphingolipid biosynthesis"
"SLF1"	"YDR515W"	1473429	1474772	"SuLFide production"	""
"NUP133"	"YKR082W"	592825	596298	"NUclear Pore"	""
"ZWF1"	"ZWF1"	196426	197943	"glucose-6-phosphate dehydrogenase"	"superpathway NAD/NADP - NADH/NADPH interconversion" // "NAD/NADP-NADH/NADPH cytosolic interconversion" // "pentose phosphate pathway (oxidative branch)"
"RIF2"	"YLR453C"	1041799	1042986	"Rap1p-Interacting Factor"	""
"TIP1"	"YBR067C"	372103	372735	"Temperature shock-Inducible Protein"	""
"GPI15"	"YNL038W"	557020	557783	"GlycosylPhosphatidylInositol anchor biosynthesis"	""
"RSB1"	"YOR049C"	422668	423732	"Resistance to Sphingoid long-chain Base"	""
"UBP1"	"YDL122W"	242552	244981	"UBiquitin-specific Protease"	""
"PAU13"	"YHL046C"	11923	12285	"seriPAUperin"	""
"MRPL40"	"YPL173W"	223143	224036	"Mitochondrial Ribosomal Protein, Large subunit"	""
"CHS6"	"YJL099W"	239414	241654	"CHitin Synthase-related"	""
"IPT1"	"IPT1"	589761	591344	"mannosyl-inositol-phosphoceramide inositolphosphotransferase"	"sphingolipid biosynthesis"
"RSM28"	"YDR494W"	1436930	1438015	"Ribosomal Small subunit of Mitochondria"	""
"RPS21A"	"YKR057W"	551657	552242	"Ribosomal Protein of the Small subunit"	""
"LAP2"	"LAP2"	542963	544978	"leukotriene A4 hydrolase"	""
"SEN1"	"YLR430W"	993434	1000129	"Splicing ENdonuclease"	"tRNA splicing"
"PRM8"	"YGL053W"	402589	403302	"Pheromone-Regulated Membrane protein"	""
"CST26"	"YBR042C"	320416	321609	"Chromosome STability"	""
"HEF3"	"YNL014W"	606319	609453	"Homolog of EF-3"	""
"CRS5"	"YOR031W"	389213	389422	"Copper-Resistant Suppressor"	""
"GET3"	"YDL100C"	282112	283176	"Guided Entry of Tailanchored proteins"	""
"RIM4"	"YHL024W"	56649	58790	"Regulator of IME2"	""
"RAD53"	"YPL153C"	261727	264192	"RADiation sensitive"	""
"DLD2"	"DLD2"	139522	141114	"DLD2"	"methylglyoxal catabolism"
"IML2"	"YJL082W"	281185	283380	"Increased Minichromosome Loss"	""
"PRP3"	"YDR473C"	1404445	1405854	"Pre-mRNA Processing"	""
"DAL80"	"YKR034W"	506898	507707	"Degradation of Allantoin"	""
"ERG12"	"ERG12"	684467	685798	"Erg12"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)" // "superpathway of ergosterol biosynthesis" // "mevalonate pathway"
"RPL31B"	"YLR406C"	931065	931755	"Ribosomal Protein of the Large subunit"	""
"SCW11"	"YGL028C"	441281	442909	"Soluble Cell Wall protein"	""
"GRX7"	"YBR014C"	266725	267336	"GlutaRedoXin"	""
"DIA1"	"YMR316W"	904825	905835	"Digs Into Agar"	""
"TIR4"	"YOR009W"	344335	345798	"TIp1-Related"	""
"RXT3"	"YDL076C"	320668	321552	"RXT3"	""
"NAG1"	"YGR031C-A"	546809	547300	"Nested Antisense Gene"	""
"ODC1"	"YPL134C"	298571	299503	"OxoDicarboxylate Carrier"	""
"SIR2"	"SIR2"	376757	378445	"NAD-dependent histone deacetylase"	"NAD salvage pathway"
"YHC3"	"YJL059W"	324964	326190	"Yeast Homolog of human Cln3"	""
"NHX1"	"YDR456W"	1367485	1369386	"Na+/H+ eXchanger"	""
"PRY2"	"YKR013W"	463959	464948	"Pathogen Related in Yeast"	""
"VAN1"	"VAN1"	40187	41794	"mannosyltransferase"	""
"ERP6"	"YGL002W"	494517	495167	"Emp24p/Erv25p Related Protein"	""
"ROX3"	"YBL093C"	44256	44918	"Repressor Of hypoXic genes"	""
"REH1"	"YLR387C"	896374	897672	"REI1 Homologue"	""
"JNM1"	"YMR294W"	856966	858087	"Just Nuclear Migration"	""
"DCP1"	"YOL149W"	44938	45633	"mRNA DeCaPping"	""
"LHP1"	"YDL051W"	363952	364779	"La-Homologous Protein"	""
"RTT102"	"YGR275W"	1043276	1043749	"Regulator of Ty1 Transposition"	""
"MRP51"	"YPL118W"	326628	327662	"Mitochondrial Ribosomal Protein"	""
"GRX1"	"GRX1"	60841	61173	"oxidized glutaredoxin 1" // "reduced glutaredoxin 1"	"glutathione-glutaredoxin redox reactions" // "glutathione-glutaredoxin system"
"SNX4"	"YJL036W"	378825	380096	"Sorting NeXin"	""
"RPN9"	"YDR427W"	1322205	1323386	"Regulatory Particle Non-ATPase"	""
"UBA1"	"YKL210W"	39163	42237	"UBiquitin Activating"	""
"IMD3"	"IMD3"	1002557	1004128	"IMP dehydrogenase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "guanosine ribonucleotides <i>de novo</i> biosynthesis"
"ERJ5"	"YFR041C"	237368	238255	"Endoplasmic Reticulum located J-protein"	""
"UBP13"	"YBL067C"	93639	95882	"UBiquitin-specific Protease"	""
"RPS22B"	"YLR367W"	856442	857317	"Ribosomal Protein of the Small subunit"	""
"DSK2"	"YMR276W"	818827	819948	"DSK2"	""
"RPL25"	"YOL127W"	80348	81190	"Ribosomal Protein of the Large subunit"	""
"RTK1"	"YDL025C"	405344	407206	"Ribosome biogenesis and TRNA synthetase-associated Kinase"	""
"NTG2"	"YOL043C"	248392	249534	"eNdonuclease Three-like Glycosylase"	""
"YGR250C"	"YGR250C"	991176	993521	"YGR250C"	""
"SEC62"	"YPL094C"	369839	370663	"SECretory"	""
"PYC2"	"PYC2"	658707	662249	"pyruvate carboxylase"	"gluconeogenesis" // "aspartate biosynthesis" // "TCA cycle, aerobic respiration"
"CTK2"	"YJL006C"	423138	424109	"Carboxy-Terminal domain Kinase"	""
"PDR15"	"YDR406W"	1279210	1283799	"Pleiotropic Drug Resistance"	""
"CNB1"	"YKL190W"	82947	83550	"CalciNeurin subunit B"	""
"CTS1"	"CTS1"	708448	710136	"endochitinase"	""
"CMK1"	"YFR014C"	172537	173877	"CalModulin dependent protein Kinase"	""
"ECM13"	"YBL043W"	136688	137461	"ExtraCellular Mutant"	""
"RPP0"	"YLR340W"	805887	806825	"Ribosomal Protein P0"	""
"GTO3"	"YMR251W"	772915	774015	"Glutathione Transferase Omega-like"	""
"INO4"	"YOL108C"	111431	111886	"INOsitol requiring"	""
"MCD1"	"YDL003W"	444683	446383	"Mitotic Chromosome Determinant"	""
"TSR4"	"YOL022C"	280272	281498	"Twenty S rRNA accumulation"	""
"AMA1"	"YGR225W"	945145	947019	"Activator of Meiotic APC/C"	""
"UBP16"	"YPL072W"	418512	420011	"UBiquitin-specific Protease"	""
"CDS1"	"CDS1"	296369	297742	"phosphatidate cytidylyltransferase"	"phosphatidylglycerol biosynthesis" // "CDP-diacylglycerol biosynthesis"
"YAP5"	"YIR018W"	384609	385346	"Yeast AP-1"	""
"EFT2"	"YDR385W"	1243230	1245758	"Elongation Factor Two"	""
"MRPL38"	"YKL170W"	130634	131050	"Mitochondrial Ribosomal Protein, Large subunit"	""
"ASP3-3"	"ASP3-3"	482549	483637	"asparaginase II"	"asparagine degradation"
"MSH4"	"YFL003C"	134521	137157	"MutS Homolog"	""
"MCM2"	"YBL023C"	174920	177526	"MiniChromosome Maintenance"	""
"CDC3"	"YLR314C"	762575	764137	"Cell Division Cycle"	""
"MTF1"	"YMR228W"	724626	725651	"Mitochondrial Transcription Factor"	""
"ATG34"	"YOL083W"	165714	166952	"AuTophaGy related"	""
"OCA4"	"YCR095C"	288170	289258	"Oxidant-induced Cell-cycle Arrest"	""
"PFA4"	"YOL003C"	321858	322994	"Protein Fatty Acyltransferase"	""
"TDA10"	"YGR205W"	909213	910085	"Topoisomerase I Damage Affected"	""
"VPS16"	"YPL045W"	467260	469656	"Vacuolar Protein Sorting"	""
"YAT1"	"YAT1"	190193	192256	"carnitine acetyltransferase"	"carnitine shuttle"
"YIL166C"	"YIL166C"	30938	32566	"YIL166C"	""
"ESC2"	"YDR363W"	1199183	1200553	"Establishment of Silent Chromatin"	""
"RPC25"	"YKL144C"	175843	176481	"RNA Polymerase C"	""
"PCK1"	"PCK1"	631152	632801	"phosphoenolpyruvate carboxylkinase"	"gluconeogenesis"
"STE2"	"YFL026W"	82580	83875	"STErile"	""
"HTB2"	"YBL002W"	236492	236887	"Histone h Two B"	""
"YLR278C"	"YLR278C"	699999	704024	"YLR278C"	""
"MGL2"	"YMR210W"	687516	688865	"monoacylglycerol lipase"	"monoacylglycerol metabolism" // "triacylglycerol degradation"
"IMG2"	"YCR071C"	240103	240543	"Integrity of Mitochondrial Genome"	""
"YNR064C"	"YNR064C"	749136	750008	"YNR064C"	""
"PBP1"	"YGR178C"	851047	853215	"Pab1p-Binding Protein"	""
"ECM23"	"YPL021W"	511101	511664	"ExtraCellular Mutant"	""
"VPS63"	"YLR261C"	668237	668563	"Vps63p"	""
"AXL2"	"YIL140W"	85366	87837	"AXiaL budding pattern"	""
"HXT7"	"YDR342C"	1154216	1155928	"HeXose Transporter"	""
"VPH2"	"YKL119C"	218570	219217	"Vacuolar pH"	""
"MCR1"	"MCR1"	166544	167452	"NADH-cytochrome b5 reductase"	""
"EMP47"	"YFL048C"	38843	40180	"EMP47"	""
"CDC15"	"YAR019C"	172211	175135	"Cell Division Cycle"	""
