"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000005529"	"YOR003W"	"S. cerevisiae"	"YSP3"	"Yeast Subtilisin-like Protease III"	"Putative precursor of the subtilisin-like protease III"	"Putative precursor of the subtilisin-like protease III; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YSP3 has a paralog, PRB1, that arose from the whole genome duplication"	"Verified"	NA	NA	"6967-YOR003W"	NA
"S000005530"	"YOR004W"	"S. cerevisiae"	"UTP23"	"U Three-associated Protein"	"Component of the small subunit processome"	"Component of the small subunit processome; involved in 40S ribosomal subunit biogenesis; interacts with snR30 and is required for dissociation of snR30 from large pre-ribosomal particles; has homology to PINc domain protein Fcf1p, although the PINc domain of Utp23p is not required for function; essential protein"	"Verified"	NA	NA	"6968-YOR004W"	NA
"S000005531"	"YOR005C"	"S. cerevisiae"	"DNL4"	"DNA Ligase"	"DNA ligase required for nonhomologous end-joining (NHEJ)"	"DNA ligase required for nonhomologous end-joining (NHEJ); forms stable heterodimer with required cofactor Lif1p, interacts with Nej1p; involved in meiosis, not essential for vegetative growth; mutations in human ortholog lead to ligase IV syndrome and Dubowitz syndrome"	"Verified"	NA	NA	"6969-YOR005C"	NA
"S000005532"	"YOR006C"	"S. cerevisiae"	"TSR3"	"Twenty S rRNA accumulation"	"Protein required for 20S pre-rRNA processing"	"Protein required for 20S pre-rRNA processing; involved in processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; relative distribution to the nucleus increases upon DNA replication stress"	"Verified"	NA	NA	"6970-YOR006C"	NA
"S000005533"	"YOR007C"	"S. cerevisiae"	"SGT2"	"Small Glutamine-rich Tetratricopeptide repeat-containing protein"	"Glutamine-rich cytoplasmic cochaperone"	"Glutamine-rich cytoplasmic cochaperone; serves as a scaffold bringing together Get4, Get5p, and other TRC complex members that are required to mediate posttranslational insertion of tail-anchored proteins into the ER membrane; interacts with the prion domain of Sup35p; amyloid sensor; plays a role in targeting chaperones to prion aggregates; similar to human cochaperone SGT; forms cytoplasmic foci upon DNA replication stress"	"Verified"	NA	NA	"6971-YOR007C"	NA
"S000005534"	"YOR008C"	"S. cerevisiae"	"SLG1"	"Synthetic Lethal with Gap"	"Sensor-transducer of the stress-activated PKC1-MPK1 kinase pathway"	"Sensor-transducer of the stress-activated PKC1-MPK1 kinase pathway; involved in maintenance of cell wall integrity; required for mitophagy; involved in organization of the actin cytoskeleton; secretory pathway Wsc1p is required for the arrest of secretion response"	"Verified"	"Transmembrane signaling receptor involved in Rho protein signal transduction and the response to osmotic stress and heat; involved in actin cytoskeleton organization, establishment of cell polarity, pexophagy, and cell wall organization; localizes to the plasma membrane and the bud neck|uniprot_proteome=UP000002311"	NA	"6972-YOR008C"	NA
"S000005535"	"YOR009W"	"S. cerevisiae"	"TIR4"	"TIp1-Related"	"Cell wall mannoprotein"	"Cell wall mannoprotein; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins"	"Verified"	"Protein whose biological role is unknown; localizes to the cell wall|uniprot_proteome=UP000002311"	NA	"6975-YOR009W_NumOfGenes_2"	NA
"S000005536"	"YOR010C"	"S. cerevisiae"	"TIR2"	"TIp1-Related"	"Putative cell wall mannoprotein"	"Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog, TIR3, that arose from the whole genome duplication"	"Verified"	NA	NA	"6976-YOR010C"	NA
"S000005537"	"YOR011W"	"S. cerevisiae"	"AUS1"	"ABC protein involved in Uptake of Sterols"	"Plasma membrane sterol transporter of the ATP-binding cassette family"	"Plasma membrane sterol transporter of the ATP-binding cassette family; required, along with Pdr11p, for uptake of exogenous sterols and their incorporation into the plasma membrane; activity is stimulated by phosphatidylserine; sterol uptake is required for anaerobic growth because sterol biosynthesis requires oxygen; AUS1 has a paralog, PDR11, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant displays reduced sterol uptake and decreased anaerobic growth; null mutant displays decreased starvation resistance, decreased utilization of arginine as a nitrogen source but increased competitive fitness in minimal media; null mutant is sensitive to treatment with nickel sulfate; null mutant displays increased survival following a ramped heat stimulus"	"6977-YOR011W"	NA
"S000005538"	"YOR012W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"6979-YOR012W"	NA
"S000005539"	"YOR013W"	"S. cerevisiae"	"IRC11"	"Increased Recombination Centers"	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized gene YOR012C; null mutant displays increased levels of spontaneous Rad52 foci"	"Dubious"	NA	NA	"6980-YOR013W"	NA
"S000005540"	"YOR014W"	"S. cerevisiae"	"RTS1"	"Rox Three Suppressor"	"B-type regulatory subunit of protein phosphatase 2A (PP2A)"	"B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits, Pph21p and Pph22p; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in the absence of Cdc55p; required for maintenance of septin ring organization during cytokinesis, for ring disassembly in G1 and for dephosphorylation of septin, Shs1p; homolog of the mammalian B' subunit of PP2A"	"Verified"	"Protein phosphatase regulator involved in protein dephosphorylation, mitotic spindle orientation checkpoint, and septin ring organization and disassembly; also involved in sister chromatid biorientation, meiotic sister chromatid cohesion at centromeres, and establishment of protein localization to chromosome; localizes to the nucleus, kinetochore, spindle pole body, bud neck, and centromeric regions of chromosomes|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant is sensitive to elevated temperatures and accumulates glycogen and glutathione; in systematic studies null mutants show slow growth, lower competitive fitness, decreased chronological lifespan and increased sensitivity to hyperosmotic stress, bleomycin, cycloheximide, MMS, hygromycin B, ethanol, fluconazole, but increased resistance to tunicamycin, mycophenolic acid, acetic acid"	"6981-YOR014W"	NA
"S000005541"	"YOR015W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; conserved among S. cerevisiae strains; YOR015W is not an essential gene"	"Uncharacterized"	NA	NA	"6982-YOR015W"	NA
"S000005542"	"YOR016C"	"S. cerevisiae"	"ERP4"	"Emp24p/Erv25p Related Protein"	"Member of the p24 family involved in ER to Golgi transport"	"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; ERP4 has a paralog, ERP2, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant displays decreased endocytosis"	"6983-YOR016C"	NA
"S000005543"	"YOR017W"	"S. cerevisiae"	"PET127"	"PETite colonies"	"Protein with a role in 5'-end processing of mitochondrial RNAs"	"Protein with a role in 5'-end processing of mitochondrial RNAs; located in the mitochondrial membrane"	"Verified"	NA	NA	"6984-YOR017W"	NA
"S000005544"	"YOR018W"	"S. cerevisiae"	"ROD1"	"Resistance to O-Dinitrobenzene"	"Alpha-arrestin involved in ubiquitin-dependent endocytosis"	"Alpha-arrestin involved in ubiquitin-dependent endocytosis; activating dephosphorylation relays glucose signaling to transporter endocytosis; calcineurin dephosphorylation is required for Rsp5p-dependent internalization of agonist-occupied Ste2p, as part of signal desensitization; recruits Rsp5p to Ste2p via its 2 PPXY motifs; protein abundance increases in response to DNA replication stress; ROD1 has a paralog, ROG3, that arose from the whole genome duplication"	"Verified"	NA	NA	"6985-YOR018W"	NA
"S000005545"	"YOR019W"	"S. cerevisiae"	NA	NA	"Protein of unknown function"	"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; YOR019W has a paralog, JIP4, that arose from the whole genome duplication"	"Verified"	NA	NA	"6986-YOR019W"	NA
"S000005546"	"YOR020C"	"S. cerevisiae"	"HSP10"	"Heat Shock Protein"	"Mitochondrial matrix co-chaperonin"	"Mitochondrial matrix co-chaperonin; inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES"	"Verified"	NA	NA	"6987-YOR020C"	NA
"S000005547"	"YOR021C"	"S. cerevisiae"	"SFM1"	"Spout Family Methyltransferase 1"	"SPOUT methyltransferase"	"SPOUT methyltransferase; catalyzes omega-monomethylation of Rps3p on Arg-146; not an essential gene; predicted to be involved in rRNA processing and ribosome biogenesis and in biopolymer catabolism"	"Verified"	"Omega-N monomethyltransferase that methylates arginine residues of proteins; biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"6989-YOR021C"	NA
"S000005548"	"YOR022C"	"S. cerevisiae"	"DDL1"	"DDHD Domain-containing Lipase"	"DDHD domain-containing phospholipase A1"	"DDHD domain-containing phospholipase A1; mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA; implicated in remodeling of mitochondrial phospholipids; antagonistically regulated by Aft1p and Aft2p; in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism"	"Verified"	"Phospholipase; involved in the metabolism of phospholipids including: phosphatidylcholine, phosphatidylethanolamine, phosphatidic acid and cardiolipin; localizes to the mitochondrion|uniprot_proteome=UP000002311"	NA	"6990-YOR022C"	NA
"S000005549"	"YOR023C"	"S. cerevisiae"	"AHC1"	"Ada Histone acetyltransferase complex Component"	"Subunit of the Ada histone acetyltransferase complex"	"Subunit of the Ada histone acetyltransferase complex; required for structural integrity of the complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; Ahc2p may tether Ahc1p to the complex"	"Verified"	NA	"Non-essential gene; homozygous diploid null mutant has an elevated level of homologous recombination and increased formation of spontaneous Rad52p loci; null mutant has increased chronological lifespan, and displays a reduction in apoptosis after a ramped heat stimulus; null mutant has a decreased rate of proline utilization; null mutant displays decreased localization of Boi2 to the bud neck, indicative of a requirement for NoCut function in cells with an anaphase defect; heterozygous null mutant is haploinsufficient; overexpression results in a decreased rate of vegetative growth"	"6991-YOR023C"	NA
"S000005550"	"YOR024W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"6992-YOR024W"	NA
"S000005551"	"YOR025W"	"S. cerevisiae"	"HST3"	"Homolog of SIR Two (SIR2)"	"Member of the Sir2 family of NAD(+)-dependent protein deacetylases"	"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism"	"Verified"	NA	NA	"6993-YOR025W"	NA
"S000005552"	"YOR026W"	"S. cerevisiae"	"BUB3"	"Budding Uninhibited by Benzimidazole"	"Kinetochore checkpoint WD40 repeat protein"	"Kinetochore checkpoint WD40 repeat protein; localizes to kinetochores during prophase and metaphase, delays anaphase in the presence of unattached kinetochores; forms complexes with Mad1p-Bub1p and with Cdc20p, binds Mad2p and Mad3p; functions at kinetochore to activate APC/C-Cdc20p for normal mitotic progression"	"Verified"	"Ubiquitin binding subunit of the mitotic checkpoint complex; involved in mitotic spindle assembly checkpoint and mitotic DNA integrity checkpoint; localized to condensed nuclear chromosome kinetochore|uniprot_proteome=UP000002311"	NA	"6994-YOR026W"	NA
"S000005553"	"YOR027W"	"S. cerevisiae"	"STI1"	"STress Inducible"	"Hsp90 cochaperone"	"Hsp90 cochaperone; regulates spatial organization of amyloid-like proteins in the cytosol, thereby buffering the proteotoxicity caused by amyloid-like proteins; interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop"	"Verified"	"Hsp70 and Hsp90-binding protein and ATPase inhibitor; also binds to mRNA; involved in protein folding, localization, and targeting to the mitochondrion; localizes to the cytoplasm|uniprot_proteome=UP000002311"	NA	"6995-YOR027W"	NA
"S000005554"	"YOR028C"	"S. cerevisiae"	"CIN5"	"Chromosome INstability"	"Basic leucine zipper (bZIP) transcription factor of the yAP-1 family"	"Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress and sequestered in the cytoplasm by Lot6p under reducing conditions; CIN5 has a paralog, YAP6, that arose from the whole genome duplication"	"Verified"	NA	NA	"6996-YOR028C"	NA
"S000005555"	"YOR029W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; conserved among S. cerevisiae strains; YOR029W is not an essential gene"	"Uncharacterized"	NA	NA	"6997-YOR029W"	NA
"S000005556"	"YOR030W"	"S. cerevisiae"	"DFG16"	"Defective for Filamentous Growth"	"Probable multiple transmembrane protein"	"Probable multiple transmembrane protein; involved in diploid invasive and pseudohyphal growth upon nitrogen starvation; is glycosylated and phosphorylated; interacts with Rim21p and Rim9p in the plasma membrane to form a pH-sensing complex in the Rim101 pathway and is required to maintain Rim21p levels; required for accumulation of processed Rim101p"	"Verified"	NA	NA	"6998-YOR030W"	NA
"S000005558"	"YOR032C"	"S. cerevisiae"	"HMS1"	"High-copy Mep Suppressor"	"bHLH protein with similarity to myc-family transcription factors"	"bHLH protein with similarity to myc-family transcription factors; overexpression confers hyperfilamentous growth and suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant"	"Verified"	NA	NA	"7000-YOR032C"	NA
"S000005559"	"YOR033C"	"S. cerevisiae"	"EXO1"	"EXOnuclease"	"5'-3' exonuclease and flap-endonuclease"	"5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication"	"Verified"	"5'-3' exonuclease and 5-flap endonuclease involved in DNA double-strand break processing, gene conversion at mating-type locus, and mismatch repair; also involved in telomere maintenance and telomeric 3 overhang formation; localizes to the nucleus|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant is sensitive to MMS and phleomycin; sumoylation of Rad52p and Rfa1p in response to DNA damage is reduced in the null mutant and increased in an activated mutant; in large-scale studies the null mutant displays decreased cell size and altered resistance to various chemicals"	"7002-YOR033C"	NA
"S000005560"	"YOR034C"	"S. cerevisiae"	"AKR2"	"AnKyrin Repeat-containing protein"	"Ankyrin repeat-containing protein"	"Ankyrin repeat-containing protein; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; possibly involved in constitutive endocytosis of Ste3p; AKR2 has a paralog, AKR1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; overexpression leads to increased resistance to phytosphingosine; null mutant shows increased competitive fitness, increased sensitivity to cycloheximide and mycophenolic acid, and increased resistance to fenpropimorph; in a large-scale survey overexpression causes slow growth"	"7003-YOR034C"	NA
"S000005561"	"YOR035C"	"S. cerevisiae"	"SHE4"	"Swi5p-dependent HO Expression"	"Protein containing a UCS (UNC-45/CRO1/SHE4) domain"	"Protein containing a UCS (UNC-45/CRO1/SHE4) domain; binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization"	"Verified"	NA	NA	"7005-YOR035C"	NA
"S000005562"	"YOR036W"	"S. cerevisiae"	"PEP12"	"carboxyPEPtidase Y-deficient"	"Target membrane receptor (t-SNARE)"	"Target membrane receptor (t-SNARE); for vesicular intermediates traveling between the Golgi apparatus and the vacuole; controls entry of biosynthetic, endocytic, and retrograde traffic into the prevacuolar compartment; syntaxin"	"Verified"	NA	"Non-essential gene in strain S288C, essential in strain Sigma1278b; null mutant accumulates cytoplasmic vesicles and stacked endosomal intermediate structures, and fails to undergo autophagy; null and point mutants secrete carboxypeptidase Y instead of properly targeting it to the vacuole; in large-scale studies, null mutant displays reduced competitive fitness under a variety of conditions, defective respiration and sporulation, and altered resistance to many chemicals"	"7006-YOR036W"	NA
"S000005563"	"YOR037W"	"S. cerevisiae"	"CYC2"	"CYtochrome C"	"Mitochondrial peripheral inner membrane protein"	"Mitochondrial peripheral inner membrane protein; contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)"	"Verified"	NA	NA	"7007-YOR037W"	NA
"S000005564"	"YOR038C"	"S. cerevisiae"	"HIR2"	"HIstone Regulation"	"Subunit of HIR nucleosome assembly complex"	"Subunit of HIR nucleosome assembly complex; involved in regulation of histone gene transcription; recruits Swi-Snf complexes to histone gene promoters; promotes heterochromatic gene silencing with Asf1p; relocalizes to the cytosol in response to hypoxia"	"Verified"	"Transcriptional corepressor that is part of the HIR complex; negatively regulates transcription of HTA1 and HTB1; localized to the nucleus and cytosol|uniprot_proteome=UP000002311"	NA	"7008-YOR038C"	NA
"S000005565"	"YOR039W"	"S. cerevisiae"	"CKB2"	"Casein Kinase Beta' subunit"	"Beta' regulatory subunit of casein kinase 2 (CK2)"	"Beta' regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase"	"Verified"	NA	NA	"7009-YOR039W"	NA
"S000005566"	"YOR040W"	"S. cerevisiae"	"GLO4"	"GLyOxalase"	"Mitochondrial glyoxalase II"	"Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication"	"Verified"	NA	NA	"7010-YOR040W"	NA
"S000005567"	"YOR041C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 85% of ORF overlaps the uncharacterized gene CUE5; deletion in cyr1 mutant results in loss of stress resistance"	"Dubious"	NA	NA	"7011-YOR042W_NumOfGenes_2"	"find panID based blast"
"S000005568"	"YOR042W"	"S. cerevisiae"	"CUE5"	"Coupling of Ubiquitin conjugation to ER degradation"	"Ubiquitin-binding protein"	"Ubiquitin-binding protein; functions as ubiquitin-Atg8p adaptor in ubiquitin-dependent autophagy; serves as proteaphagy receptor for inactivated 26S proteasomes; contains CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE5 has a paralog, DON1, that arose from the whole genome duplication; human TOLLIP is a functional CUE-domain homolog, can complement yeast null mutant, rescuing hypersensitivity of cue5 null mutant cells to Htt-96Q"	"Verified"	"Ubiquitin binding protein involved in ubiquitin-dependent protein catabolic processes; acts as an Atg8p-ubiquitin adaptor during nitrogen starvation response|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant accumulates ubiquitin conjugates and shows increased resistance to sirolimus (rapamycin), decreased resistance to bleomycin, camptothecin and tunicamycin"	"7011-YOR042W_NumOfGenes_2"	NA
"S000005569"	"YOR043W"	"S. cerevisiae"	"WHI2"	"WHIskey"	"Protein required for full activation of the general stress response"	"Protein required for full activation of the general stress response; required with binding partner Psr1p, possibly through Msn2p dephosphorylation; regulates growth during the diauxic shift; negative regulator of G1 cyclin expression; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the cell periphery"	"Verified"	"Protein phosphatase activator involved in the general stress response; role in mitophagy, endocytosis and organization of the actin cytoskeleton; localizes to the cell periphery|uniprot_proteome=UP000002311"	NA	"7012-YOR043W"	NA
"S000005570"	"YOR044W"	"S. cerevisiae"	"IRC23"	"Increased Recombination Centers"	"Protein of unknown function"	"Protein of unknown function; green fluorescent protein (GFP)-fusion localizes to the ER; null mutant displays increased levels of spontaneous Rad52p foci; IRC23 has a paralog, BSC2, that arose from the whole genome duplication"	"Verified"	"Protein whose biological role is unknown; localizes to the endoplasmic reticulum in a large-scale study|uniprot_proteome=UP000002311"	NA	"7013-YOR044W"	NA
"S000005571"	"YOR045W"	"S. cerevisiae"	"TOM6"	"Translocase of the Outer Mitochondrial membrane"	"Component of the TOM (translocase of outer membrane) complex"	"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex"	"Verified"	NA	NA	"7014-YOR045W"	NA
"S000005572"	"YOR046C"	"S. cerevisiae"	"DBP5"	"Dead Box Protein"	"Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family"	"Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus, remodeling messenger ribonucleoprotein particles (mRNPs), with ATPase activity stimulated by Gle1p, IP6 and Nup159p; involved in translation termination along with Sup45p (eRF1); role in the cellular response to heat stress"	"Verified"	NA	NA	"7015-YOR046C"	NA
"S000005573"	"YOR047C"	"S. cerevisiae"	"STD1"	"Suppressor of Tbp Deletion"	"Protein involved in control of glucose-regulated gene expression"	"Protein involved in control of glucose-regulated gene expression; interacts with kinase Snf1p, glucose sensors Snf3p and Rgt2p, TATA-binding Spt15p; regulator of transcription factor Rgt1p; interactions with Pma1p appear to propagate [GAR+]; STD1 has a paralog, MTH1, that arose from the whole genome duplication"	"Verified"	NA	NA	"7016-YOR047C"	NA
"S000005574"	"YOR048C"	"S. cerevisiae"	"RAT1"	"Ribonucleic Acid Trafficking"	"Nuclear 5' to 3' single-stranded RNA exonuclease"	"Nuclear 5' to 3' single-stranded RNA exonuclease; involved in RNA metabolism, including rRNA and snoRNA processing, as well as poly (A+) dependent and independent mRNA transcription termination; required for cotranscriptional pre-rRNA cleavage; displaces Cdk1p from elongating transcripts, especially as RNAPII reaches the poly(A) site, negatively regulates phosphorylation of the CTD of RNAPII, and inhibits RNAPII transcriptional elongation"	"Verified"	"Nuclear 5' to 3' RNA exoribonuclease; functions in both exosome-dependent and poly(A)-coupled RNAPII transcriptional termination; functions in mRNA surveillance, and processing of both rRNA and snoRNA; inhibits RNAPII transcriptional elongation, and phosphorylation of the CTD of RNAPII|uniprot_proteome=UP000002311"	"Essential gene; null mutant accumulates poly(A)+ RNA in the nucleus, and conditional mutant accumulates unprocessed forms of pre-rRNA and snoRNAs; conditional mutant has an S phase delay, increased hydroxyurea sensitivity, and accumulates telomeric repeat-containing RNA (TERRA) and shortened telomeres; null mutant displays chromosomal instability and decreased competitive fitness in rich media; conditional mutant has increased phosphorylation of the C-terminal domain (CTD) of RNAPII, and elevated recruitment of Ctk1p to active chromatin; overexpression causes slow growth and elevated invasive growth"	"7017-YOR048C"	NA
"S000005575"	"YOR049C"	"S. cerevisiae"	"RSB1"	"Resistance to Sphingoid long-chain Base"	"Putative sphingoid long-chain base (LCB) efflux transporter"	"Putative sphingoid long-chain base (LCB) efflux transporter; integral membrane transporter that localizes to the plasma membrane and may transport long chain bases (LCBs) from the cytoplasmic side toward the extracytoplasmic side of the membrane; role in glycerophospholipid translocation; suppressor of the sphingoid LCB sensitivity of an LCB-lyase mutation"	"Verified"	NA	NA	"7018-YOR049C"	NA
"S000005576"	"YOR050C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant is viable"	"Dubious"	NA	NA	"7019-YOR050C"	NA
"S000005577"	"YOR051C"	"S. cerevisiae"	"ETT1"	"Enhancer of Translation Termination 1"	"Nuclear protein that inhibits replication of Brome mosaic virus"	"Nuclear protein that inhibits replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts; deletion increases stop codon readthrough"	"Verified"	NA	NA	"7020-YOR051C"	NA
"S000005578"	"YOR052C"	"S. cerevisiae"	"TMC1"	"Trivalent Metalloid sensitive, Cuz1-related protein"	"AN1-type zinc finger protein, effector of proteotoxic stress response"	"AN1-type zinc finger protein, effector of proteotoxic stress response; stress-inducible transcriptional target of Rpn4p; induced by nitrogen limitation, weak acid, misfolded proteins; short-lived protein, degraded by proteasome; may protect cells from trivalent metalloid induced proteotoxicity; contains PACE promoter element; ortholog of human AIRAP, which stimulates proteasome activity in response to arsenic; protein abundance increases under DNA replication stress"	"Verified"	NA	NA	"7021-YOR052C"	NA
"S000005579"	"YOR053W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VHS3/YOR054C"	"Dubious"	NA	NA	"7022-YOR054C_NumOfGenes_3"	"find panID based blast"
"S000005580"	"YOR054C"	"S. cerevisiae"	"VHS3"	"Viable in a Hal3 Sit4 background"	"Negative regulatory subunit of protein phosphatase 1 Ppz1p"	"Negative regulatory subunit of protein phosphatase 1 Ppz1p; involved in coenzyme A biosynthesis; subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex and the CoA-Synthesizing Protein Complex (CoA-SPC: Cab2p, Cab3p, Cab4p, Cab5p, Sis2p and Vhs3p)"	"Verified"	NA	NA	"7022-YOR054C_NumOfGenes_3"	NA
"S000005581"	"YOR055W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"7022-YOR054C_NumOfGenes_3"	"find panID based blast"
"S000005582"	"YOR056C"	"S. cerevisiae"	"NOB1"	"Nin1 (One) Binding protein"	"Protein involved in proteasomal and 40S ribosomal subunit biogenesis"	"Protein involved in proteasomal and 40S ribosomal subunit biogenesis; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA; cleavage is activated by Fun12p, a GTPase and translation initiation factor; relocalizes from nucleus to nucleolus upon DNA replication stress"	"Verified"	NA	NA	"7023-YOR056C"	NA
"S000005583"	"YOR057W"	"S. cerevisiae"	"SGT1"	"Suppressor of G2 (Two) allele of skp1"	"Cochaperone protein"	"Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF (Skp1p/Cdc53p/F box protein) ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes; protein abundance increases in response to DNA replication stress"	"Verified"	NA	"Essential gene; ts mutations cause G1 arrest and chromosome missegregation at the restrictive temperature; mutations cause sensitivity to benomyl and stabilization of Sic1p; in large-scale studies, repression causes decreased competitive fitness; diploid heterozygous null mutant is sensitive to geldanamycin and radicicol"	"7024-YOR057W"	NA
"S000005584"	"YOR058C"	"S. cerevisiae"	"ASE1"	"Anaphase Spindle Elongation"	"Mitotic spindle midzone-localized microtubule bundling protein"	"Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress"	"Verified"	NA	"Non-essential gene; null mutation causes abnormal spindle morphology and defects in cytokinesis; overexpression leads to delayed cell cycle passage through the metaphase-anaphase transition; in systematic studies null mutants display shortened chronological lifespan, decreased competitive fitness in rich medium, and increased sensitivity to mutliple chemicals, including amitrole, bleomycin, caffeine, camptothecin, fluconazole"	"7025-YOR058C"	NA
"S000005585"	"YOR059C"	"S. cerevisiae"	"LPL1"	"LD phospholipase"	"Phospholipase"	"Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"7026-YOR059C"	NA
